Year (CY),Type,Source,Summary,Recommendation/Resolution,Implementing Department,Action Category,Direct/Indirect?,Targeted at Homelessness?,Actionable?,Status of the Recommendation/Resolution 
2017,Commission Report,Economic Prosperity Commission,,"That the City Council allocate $75,000 in the next fiscal year for the funding of an RFP to contract technical assistance relating to worker cooperative development and support.",Council,Financing,Indirect,No,,
2013,Commission Report,African American Resource Advisory Commission,,The African American Advisory Commission recommends the Austin City Council offer financial incentives and technical support to the few remaining African American Businesses and venues within the AACHD so that there is real accountability to the City's promise/mission to meet the needs set forth in the AAQLI.,Council,Financing,Indirect,No,,
2016,Commission Report,Austin Human Rights Commission,,"Recommends the City of Austin Council to address the gentrification crisis affecting its residents as a matter affecting human rights, devote priority attention to tackle the effects of gentrification, conform all of its policies to minimize its effects, and to affirm gentrification as a human rights issue.",Council,Recommendations for planning and approach,Indirect,No,,
2014,Commission Report,Community Development Commission,,S.M.A.R.T. Housing Resolution # 20140410-026 - The CDC recommends approval of the staff recommendations for S.M.A.R.T. Housing Transportation Criteria Code Amendment.,Council,Recommendations for planning and approach,Indirect,No,,
2014,Commission Report,Community Development Commission,,S.M.A.R.T. Housing Resolution # 20140410-026 - CDC recommends the following next steps for staff to continue to strengthen transit orientation of S.M.A.R.T. Housing projects (A) Form an interdepartmental S.M.A.R.T. team that will support ongoing implementation and evaluation of S.M.A.R.T. Housing Policy and program. ,Council,Recommendations for planning and approach,Indirect,No,,
2014,Commission Report,Community Development Commission,,Inclusion of Source of Income to Chapter 5-1 of the City Code regarding discrimination in housing - the ordinance must prohibit discrimination not only because of the person's source of income but also prohibit discrimination because of the requirements of the program providing the source of income.,Council,Recommendations for planning and approach,Direct,No,Not actionable,
2014,Commission Report,Community Development Commission,,Inclusion of Source of Income to Chapter 5-1 of the City Code regarding discrimination in housing - the ordinance must clarify that a person may not use a financial or minimum income standard for any person participating in any tenant-based rental assistance program that requires the person to have a monthly income of more than two- and one-half times the person's share of the total monthly rent payable to the owner of the dwelling unit.,Council,Recommendations for planning and approach,Direct,No,Not actionable,
2016,Commission Report,Community Development Commission,,"Thoroughly address the monitoring process for this plan and for tracking compliance in the production and preservation programs. Better align with the federal and local budgeting and monitoring process/calendars. Study best practices in monitoring of other cities. State the benchmarks for accountability. Also, all strategic plan timelines conform to time lines stated in the related documents such as CodeNext documents.",Council,Monitoring,Indirect,No,,
2017,Commission Report,Community Development Commission,,"The City Council should prioritize the following recommendation of the task force: Review and approval of every new city code, ordinance, plan or policy by the Chief Equity Officer for identification of any potential negative consequences for people of color, as well as potential for improvement to proactively make reparations for those negatively impacted by current and prior codes, ordinances, plans, or policies. The review and approval must include analysis of CodeNEXT.",Council,Recommendations for planning and approach,Indirect,No,,
2017,Commission Report,Community Development Commission,,"The Development Commission recommends adopting the following comments and recommendations of the 2016 draft Austin Strategic Housing Plan: Elaborate on how the plan's initiatives address or do not address the duty to affirmatively further fair housing. (the January 2017 draft includes more language around geographic distribution, but does not directly address the provision of affordable housing in higher opportunity areas.)",Council,Recommendations for process improvements,Indirect,No,,
